5|Child|32: 573 130 55 23 10 4 1 
8|Child|16: 573 130 55 27 10 4 1 
21|Survivor|1: 991 687 145 45 23 10 4 1 
33|Survivor|10|Mutated: 940 667 145 45 23 10 4 1 
44|Child|3|Mutated: 991 687 145 45 21 10 4 1 
45|Child|4|Mutated: 991 687 145 47 23 10 4 1 
65|Child|3: 893 687 143 45 21 10 4 1 
70|Child|45: 991 646 145 45 21 10 4 1 
73|Child|13|Mutated: 991 651 145 45 21 10 4 1 
81|Survivor|1|Mutated: 947 651 145 45 21 10 4 1 
99|Child|24|Mutated: 991 623 145 45 21 10 4 1 
102|Child|10|Mutated|Validated: 964 651 145 45 21 10 4 1 
106|Child|16|Mutated: 934 651 145 45 21 10 4 1 
112|Child|38|Mutated: 857 651 145 49 21 10 4 1 
119|Child|27|Mutated|Validated: 979 651 145 45 21 10 4 1 
124|Child|3|Mutated: 991 651 150 47 21 10 4 1 
132|Child|21|Mutated: 991 651 155 45 21 10 4 1 
135|Child|43|Mutated: 991 675 145 45 21 10 4 1 
136|Child|12|Mutated: 991 651 145 49 21 10 4 1 
141|Survivor|8: 991 675 145 49 21 10 4 1 
143|Survivor|1|Mutated: 991 675 117 49 21 10 4 1 
144|Survivor|2: 991 651 137 45 21 10 4 1 
151|Survivor|2|Mutated: 994 651 137 45 21 10 4 1 
173|Child|43|Mutated: 991 651 135 49 21 10 4 1 
180|Child|15|Mutated: 991 608 137 45 21 10 4 1 
181|Survivor|2: 991 651 148 45 21 10 4 1 
195|Child|17|Mutated: 928 731 137 45 21 10 4 1 
204|Survivor|6|Mutated: 991 641 137 45 21 10 4 1 
207|Child|3|Mutated: 991 651 137 54 23 10 4 1 
221|Child|46|Mutated: 991 653 137 45 21 10 4 1 
242|Child|40|Mutated: 988 651 137 45 21 10 4 1 
259|Child|32|Mutated: 998 651 137 45 21 10 4 1 
276|Child|15|Mutated: 936 651 137 45 21 10 4 1 
303|Child|7|Mutated: 988 756 137 45 21 10 4 1 
321|Survivor|1|Mutated: 988 570 137 45 21 10 4 1 
330|Child|13: 973 651 139 45 21 10 4 1 
337|Child|14|Mutated|Validated: 972 651 137 45 21 10 4 1 
350|Survivor|8|Mutated: 988 646 137 45 21 10 4 1 
391|Child|20|Mutated: 988 651 148 45 21 10 4 1 
397|Child|28|Mutated: 988 647 137 54 23 10 4 1 
407|Child|3: 942 651 137 45 21 10 4 1 
412|Child|37|Mutated: 988 667 137 45 21 10 4 1 
415|Child|26|Mutated: 988 614 137 45 21 10 4 1 
450|Child|36|Mutated: 988 641 137 45 21 10 4 1 
453|Child|31|Mutated: 952 651 137 45 21 10 4 1 
477|Child|27|Mutated: 985 651 137 45 21 10 4 1 
480|Child|49|Mutated: 988 648 137 45 21 10 4 1 
496|Survivor|4|Mutated: 988 753 137 49 21 10 4 1 
501|Child|44|Mutated: 988 651 163 49 21 10 4 1 
514|Child|36|Mutated: 988 651 140 45 21 10 4 1 
515|Survivor|2: 988 649 137 45 21 10 4 1 
516|Child|19|Mutated: 976 651 137 45 21 10 4 1 
521|Child|30: 971 651 137 45 21 10 4 1 
522|Survivor|2: 988 737 137 45 21 10 4 1 
523|Child|17|Mutated: 999 651 137 45 21 10 4 1 
530|Child|1|Mutated: 922 651 137 45 21 10 4 1 
533|Child|43|Mutated: 988 738 137 45 21 10 4 1 
535|Child|10|Mutated: 988 715 163 49 21 10 4 1 
545|Child|32|Mutated: 988 659 137 45 21 10 4 1 
551|Child|21|Mutated|Validated: 946 582 137 45 21 10 4 1 
561|Child|49|Mutated: 988 529 137 45 21 10 4 1 
564|Child|43|Mutated: 917 651 145 45 21 10 4 1 
567|Child|15|Mutated: 988 781 137 45 21 10 4 1 
574|Child|18|Mutated: 938 694 137 45 21 10 4 1 
586|Child|8|Mutated: 988 651 137 49 21 10 4 1 
619|Child|37: 988 630 155 45 21 10 4 1 
645|Child|10|Mutated: 988 651 137 46 21 10 4 1 
646|Child|5|Mutated: 988 713 137 45 21 10 4 1 
668|Survivor|9|Mutated: 988 651 124 45 21 10 4 1 
691|Child|44|Mutated: 988 741 137 45 21 10 4 1 
701|Survivor|1: 952 696 137 45 21 10 4 1 
702|Child|25|Mutated: 950 651 137 45 21 10 4 1 
704|Survivor|9|Mutated: 988 647 137 45 21 10 4 1 
713|Child|33|Mutated: 953 651 136 50 21 10 4 1 
715|Child|29|Mutated: 988 651 137 52 24 9 4 1 
717|Survivor|9|Mutated: 912 651 137 45 21 10 4 1 
722|Child|41|Mutated: 988 645 137 45 21 10 4 1 
736|Child|27|Mutated: 988 651 137 53 19 10 4 1 
742|Survivor|8|Mutated: 988 643 139 45 21 10 4 1 
750|Survivor|5|Mutated: 988 651 139 45 21 10 4 1 
771|Child|1|Mutated: 964 651 137 45 21 10 4 1 
790|Child|1|Mutated|Validated: 981 651 137 45 21 10 4 1 
797|Child|7|Mutated: 988 707 130 45 21 10 4 1 
821|Random|22: 623 136 58 23 10 4 1 
822|Survivor|4|Mutated: 988 624 137 45 21 10 4 1 
829|Survivor|4|Mutated: 988 741 137 46 21 10 4 1 
882|Child|24|Mutated|Validated: 884 651 137 45 21 10 4 1 
888|Child|47|Mutated: 988 674 151 45 21 10 4 1 
928|Child|8|Mutated: 944 651 151 45 21 10 4 1 
940|Child|7|Mutated: 988 608 137 45 21 10 4 1 
1004|Child|35|Mutated|Validated: 895 651 137 45 21 10 4 1 
1014|Child|18|Mutated: 988 651 155 45 21 10 4 1 
1017|Child|34|Mutated: 988 583 137 45 21 10 4 1 
1022|Child|13|Mutated: 893 631 137 45 21 10 4 1 
1026|Child|15|Mutated: 988 651 143 45 21 10 4 1 
1036|Child|20|Mutated: 988 535 137 45 21 10 4 1 
1044|Child|48|Mutated: 933 651 137 45 21 10 4 1 
1050|Child|3|Mutated: 988 739 137 45 21 10 4 1 
1066|Child|38|Mutated: 988 651 145 45 21 10 4 1 
1093|Survivor|10|Mutated: 988 631 137 45 21 10 4 1 
1094|Survivor|2: 988 657 137 45 21 10 4 1 
1104|Survivor|4|Mutated: 973 651 137 45 21 10 4 1 
1126|Child|35|Mutated: 988 766 137 45 21 10 4 1 
1133|Child|11|Mutated: 988 629 137 45 21 10 4 1 
1147|Child|28|Mutated: 988 651 154 45 21 10 4 1 
1149|Child|20|Mutated: 988 632 137 45 21 10 4 1 
1163|Child|6|Mutated: 988 656 156 50 21 10 4 1 
1169|Child|22|Mutated: 988 746 137 45 21 10 4 1 
1174|Child|20|Mutated: 988 736 137 45 21 10 4 1 
1191|Child|25|Mutated: 977 651 137 45 21 10 4 1 
1197|Child|24|Mutated: 988 776 137 45 21 10 4 1 
1212|Child|32|Mutated|Validated: 943 651 137 45 21 10 4 1 
1252|Child|19|Mutated: 988 630 137 45 21 10 4 1 
1286|Child|23|Mutated: 988 675 137 45 21 10 4 1 
1293|Survivor|9|Mutated: 988 651 137 53 17 10 4 1 
1301|Child|46: 988 747 137 45 21 10 4 1 
1303|Child|35|Mutated: 988 602 137 45 21 10 4 1 
1334|Child|27|Mutated: 988 743 137 45 21 10 4 1 
1349|Survivor|3|Mutated: 988 606 137 45 21 10 4 1 
1354|Child|11|Mutated: 988 656 137 45 21 10 4 1 
1355|Survivor|2: 902 612 137 45 21 10 4 1 
1389|Child|46|Mutated|Validated: 961 651 137 45 21 10 4 1 
1392|Child|18|Mutated: 860 651 137 45 21 10 4 1 
1422|Child|12|Mutated: 988 717 161 45 21 10 4 1 
1436|Child|48|Mutated: 929 624 137 45 21 10 4 1 
1445|Child|40|Mutated: 988 658 137 45 21 10 4 1 
1468|Child|26|Mutated: 988 594 137 45 21 10 4 1 
1479|Child|42|Mutated: 937 651 137 45 21 10 4 1 
1486|Child|16|Mutated: 988 651 137 54 23 10 4 1 
1506|Child|37|Mutated: 988 703 137 45 21 10 4 1 
1508|Child|40|Mutated: 988 662 137 45 21 10 4 1 
1511|Survivor|10|Mutated: 988 625 137 45 21 10 4 1 
1522|Survivor|9|Mutated: 988 725 137 45 21 10 4 1 
1528|Survivor|9|Mutated: 987 651 137 45 21 10 4 1 
1536|Child|19|Mutated: 928 651 137 45 21 10 4 1 
1588|Child|28|Mutated: 988 702 137 45 21 10 4 1 
1596|Child|43|Mutated: 988 750 163 45 21 10 4 1 
1607|Child|45|Mutated: 988 717 137 45 21 10 4 1 
1621|Child|39|Mutated: 988 651 115 45 21 10 4 1 
1626|Child|8|Mutated: 935 651 137 45 21 10 4 1 
1627|Child|19|Mutated: 988 666 137 45 21 10 4 1 
1672|Child|42|Mutated: 988 757 137 45 21 10 4 1 
1692|Survivor|9|Mutated: 988 651 151 45 21 10 4 1 
1727|Child|49|Mutated: 988 698 137 45 21 10 4 1 
1735|Child|49|Mutated: 988 600 137 45 21 10 4 1 
1745|Child|16|Mutated: 988 715 137 45 21 10 4 1 
1808|Child|35|Mutated: 988 630 155 49 21 10 4 1 
1819|Child|29|Mutated: 904 651 137 45 21 10 4 1 
1822|Child|11|Mutated: 988 655 137 45 21 10 4 1 
1833|Survivor|8|Mutated: 988 653 137 45 21 10 4 1 
1847|Child|29|Mutated: 988 729 137 45 21 10 4 1 
1851|Child|42|Mutated: 980 651 137 45 21 10 4 1 
1873|Child|48|Mutated: 988 734 137 45 21 10 4 1 
1911|Child|26|Mutated: 967 651 137 45 21 10 4 1 
1935|Child|18|Mutated: 988 651 152 45 21 10 4 1 
1939|Child|29|Mutated: 967 651 142 54 23 10 4 1 
1990|Child|12|Mutated: 919 651 137 45 21 10 4 1 
1994|Child|20|Mutated: 988 643 137 45 21 10 4 1 
1996|Child|44|Mutated: 988 670 137 45 21 10 4 1 
2025|Survivor|9|Mutated: 971 765 145 45 21 10 4 1 
2051|Child|29|Mutated: 988 763 137 45 21 10 4 1 
2091|Child|42|Mutated: 988 622 154 45 21 10 4 1 
2133|Child|44|Mutated: 988 603 158 45 21 10 4 1 
2154|Survivor|8|Mutated: 988 708 149 45 21 10 4 1 
2162|Child|8|Mutated: 988 651 133 45 21 10 4 1 
2169|Survivor|6|Mutated: 910 651 137 45 21 10 4 1 
2207|Child|10|Mutated: 924 651 137 45 21 10 4 1 
2214|Child|5|Mutated: 988 762 137 45 21 10 4 1 
2224|Child|15|Mutated: 993 651 137 45 21 10 4 1 
2237|Child|9|Mutated: 988 745 137 45 21 10 4 1 
2275|Child|46|Mutated: 988 609 137 45 21 10 4 1 
2288|Child|18|Mutated: 979 651 137 54 23 10 4 1 
2295|Child|11|Mutated: 966 651 137 45 21 10 4 1 
2297|Survivor|5|Mutated: 982 651 137 45 21 10 4 1 
2327|Child|33|Mutated: 988 680 137 45 21 10 4 1 
2343|Child|9|Mutated|Validated: 927 699 137 45 21 10 4 1 
2346|Survivor|9|Mutated: 988 651 138 49 21 10 4 1 
2357|Child|7|Mutated: 988 678 137 45 21 10 4 1 
2371|Survivor|8|Mutated: 970 627 137 45 21 10 4 1 
2377|Child|46|Mutated: 988 652 137 45 21 10 4 1 
2412|Survivor|2|Mutated: 993 651 124 45 21 10 4 1 
2427|Child|16|Mutated: 988 755 137 45 21 10 4 1 
2441|Child|48|Mutated: 988 742 137 45 21 10 4 1 
2445|Survivor|8|Mutated: 988 750 137 45 21 10 4 1 
2451|Child|15: 988 623 145 45 21 10 4 1 
2453|Child|49|Mutated: 963 651 137 45 21 10 4 1 
2466|Survivor|2|Mutated: 963 651 137 49 21 10 4 1 
2483|Child|43|Mutated: 988 760 137 45 21 10 4 1 
2528|Survivor|10|Mutated: 938 651 137 45 21 10 4 1 
2543|Child|8|Mutated: 913 651 137 45 21 10 4 1 
2566|Child|37|Mutated: 931 651 137 45 21 10 4 1 
2580|Child|11|Mutated: 930 651 137 45 21 10 4 1 
2621|Child|30|Mutated: 962 651 137 45 21 10 4 1 
2624|Child|35|Mutated: 988 627 137 45 21 10 4 1 
2635|Child|43|Mutated: 864 651 137 45 21 10 4 1 
2660|Survivor|8|Mutated: 988 651 131 48 21 10 4 1 
2681|Child|48|Mutated: 983 651 137 45 21 10 4 1 
2721|Survivor|10|Mutated|Validated: 953 651 137 45 21 10 4 1 
2732|Child|3|Mutated: 988 623 137 45 21 10 4 1 
2737|Child|20|Mutated: 988 634 137 45 21 10 4 1 
2748|Child|32|Mutated: 988 651 144 45 23 10 4 1 
2787|Child|49|Mutated: 988 603 137 45 21 10 4 1 
2834|Child|40|Mutated: 988 651 160 45 21 10 4 1 
2865|Child|28|Mutated: 992 651 137 45 21 10 4 1 
2873|Child|32: 988 712 137 45 21 10 4 1 
2876|Child|10|Mutated: 988 663 137 45 21 10 4 1 
2884|Child|44|Mutated|Validated: 944 651 137 45 21 10 4 1 
2920|Survivor|4|Mutated: 954 651 137 45 21 10 4 1 
2936|Child|21|Mutated: 988 723 137 45 21 10 4 1 
2938|Child|30: 988 663 154 45 21 10 4 1 
2939|Survivor|4|Mutated: 988 633 137 45 21 10 4 1 
2983|Survivor|4|Mutated: 949 651 137 45 21 10 4 1 
3002|Child|1|Mutated: 988 690 137 45 21 10 4 1 
3042|Child|13|Mutated: 974 651 137 45 21 10 4 1 
